,Subject ,Items,Quantity,Comments
0,Basic Essentials,Staples Eraser,1,
1,Basic Essentials,HB Pencil,4,
2,Basic Essentials,Pencil Sharpener,1,
3,Basic Essentials,Ballpoint Pen- Black,2,
4,Basic Essentials,Ballpoint Pen- Blue,2,
5,Basic Essentials,Ballpoint Pen- Red,1,
6,Basic Essentials,Plastic Ruler,1,
7,Basic Essentials,Pencil case,1,
8,Basic Essentials,USB - minimum 4 GB,1,
9,Basic Essentials,Display Folder,2,
10,Art A,Pilot Fineliner Marker 0.4mm,1,
11,Art A,2B pencil,1,
12,Art A,A3 Jasart Visual Diary,1,
13,Biology A,Tudor Exercise Book A4 96page 8mm ruled,1,
14,Biology A,Display Book Blue,1,
15,Biology B,Tudor Exercise Book A4 96page 8mm ruled,1,
16,Biology B,Display Book Blue,1,
17,Business and Enterprise,Tudor Exercise Book A4 96page 8mm ruled,1,
18,Chemistry A,Tudor Exercise Book A4 96page 8mm ruled,1,
19,Chemistry B,Tudor Exercise Book A4 96page 8mm ruled,1,
20,Child Studies,Tudor Exercise Book A4 96page 8mm ruled,1,
21,Design A,Pilot Fineliner Marker 0.4mm,1,
22,Design A,A3 Jasart Visual Diary,1,
23,Design A,HB Pencil,1,
24,Design B,Pilot Fineliner Marker 0.4mm,1,
25,Design B,A3 Jasart Visual Diary,1,
26,Design B,HB Pencil,1,
27,Essential English A,Tudor Exercise Book A4 96page 8mm ruled,1,
28,Essential English A,Black Display Book,1,
29,Essential English B,Tudor Exercise Book A4 96page 8mm ruled,1,
30,Essential English B,Black Display Book,1,
31,English A,Tudor Exercise Book A4 96page 8mm ruled,1,
32,English B,Tudor Exercise Book A4 96page 8mm ruled,1,
33,Essential Maths A,Protractor,1,
34,Essential Maths A,Olympic Binder Graph Pad A4 25page 5mm Squares,1,
35,Essential Maths A,Graph Book 96page 5mm,1,
36,Essential Maths B,Protractor,1,
37,Essential Maths B,Olympic Binder Graph Pad A4 25page 5mm Squares,1,
38,Essential Maths B,Graph Book 96page 5mm,1,
39,Geography,Tudor Exercise Book A4 96page 8mm ruled,1,
40,Modern History,Tudor Exercise Book A4 96page 8mm ruled,1,
41,Health A,Tudor Exercise Book A4 96page 8mm ruled,1,
42,Health B,Tudor Exercise Book A4 96page 8mm ruled,1,
43,Math Studies 1,Protractor,1,
44,Math Studies 1,Olympic Binder Graph Pad A4 25page 5mm Squares,1,
45,Math Studies 1,Graph Book 96page 5mm,1,
46,Math Studies 3,Olympic Binder Graph Pad A4 25page 5mm Squares,1,
47,Math Studies 3,Graph Book 96page 5mm,1,
48,Math Studies 4,Olympic Binder Graph Pad A4 25page 5mm Squares,1,
49,Math Studies 4,Graph Book 96page 5mm,1,
50,General Math A,Protractor,1,
51,General Math A,Olympic Binder Graph Pad A4 25page 5mm Squares,1,
52,General Math A,Graph Book 96page 5mm,1,
53,General Math B,Olympic Binder Graph Pad A4 25page 5mm Squares,1,
54,General Math B,Graph Book 96page 5mm,1,
55,Yr 11 Full Year Music,48 page exercusie book ruled,1,
56,Outdoor Education,Tudor Exercise Book A4 96page 8mm ruled,1,
57,Physical Ed A,Tudor Exercise Book A4 96page 8mm ruled,1,
58,Physical Ed B,Tudor Exercise Book A4 96page 8mm ruled,1,
59,Sport & Nutrition,Tudor Exercise Book A4 96page 8mm ruled,1,
60,Marine Science B,Tudor Exercise Book A4 96page 8mm ruled,1,
