,Subject,Items,Quantity,Comments
0,Accounting,,,Workbook can be ordered at school office
1,Accounting,A4 ringbinder,1.0,
2,Accounting,14R8 A4 treble cash loose leaf refill,1.0,
3,Accounting,set of dividers,1.0,
4,Accounting,Loose leaf refill 7mm,1.0,
5,AMP, A4 display book 20 pockets,1.0,All Students (previously HAT period)
6,Basic Requirements,HB pencils,2.0,
7,Basic Requirements,Pack of coloured pencils,1.0,
8,Basic Requirements,Clear plastic ruler,1.0,
9,Basic Requirements,Large glue stick,1.0,
10,Basic Requirements,"Blue,Black & Red ballpoint pen",1.0,
11,Basic Requirements,Pencil case,1.0,
12,Basic Requirements,Set of earphones,1.0,
13,Basic Requirements,Highlighter,1.0,
14,Basic Requirements,Eraser,1.0,
15,Basic Requirements,Loose leaf refill pad 7mm ruled 100 pages,1.0,
16,Biology,,,Yr 12 Biozone workbook available to order at school office
17,Biology,A4 ringbinder,1.0,
18,Biology,Loose leaf refill 7mm,1.0,
19,Biology,Set of dividers,1.0,
20,Building,HB pencil,1.0,
21,Building,Blue ballpoint pen,1.0,
22,Chemistry,,,Workbook can be ordered at the school office
23,Chemistry,1B5 exercise book & 1 x A4 display book 20 pockets,1.0,Choose either
24,Chemistry,"small A4 ring binder, set of dividers & loose leaf refill 7mm",1.0,Choose either
25,Computer Studies,8GB memory stick,1.0,
26,Correspondence,,,Own device recommended
27,Correspondence,A4 display book 20 pockets,1.0,
28,Dance,A4 display book 20 pockets,1.0,
29,Dance,Loose leaf refill 7mm,1.0,
30,Dance,1B5 exercise book,1.0,
31,Design,4GB or more USB stick,,
32,Design,"Drawing tools including pencils, finewriters & felt pens",,
33,Design,A3 or A4 Visual diary or clearfile display folder,,
34,Digital Technology,8GB memory stick,1.0,
35,Drama,,,To be decided in class 2017
36,Engineering,3H pencil,1.0,
37,Engineering,HB pencil,1.0,
38,Engineering,ballpoint pen,1.0,
39,English,small A4 ring binder,1.0,
40,English,set of dividers,1.0,
41,English,loose leaf refill 7mm ruled,1.0,
42,Fabric Technology,,,Please provide your own sewing thread and fabric
43,Fabric Technology,mechanical pencil & lead,1.0,
44,Fabric Technology,visual diary,1.0,
45,Fabric Technology,large glue stick,1.0,
46,Fabric Technology,A4 display book 20 pockets,1.0,
47,Food Technology,A4 ringbinder,1.0,
48,Food Technology,loose leaf refill,1.0,
49,Food Technology,set of dividers,1.0,
50,French,A4 display book 40 pockets,1.0,
51,Furniture Making,3H pencil,1.0,
52,Furniture Making,HB pencil,1.0,
53,Furniture Making,ballpoint pen,1.0,
54,Gateway/Automatic Engineering/Primary Trades,,,To be advised once course confirmed
55,Geography,A4 ringbinder,1.0,
56,Geography,set of dividers,1.0,
57,Geography,loose leaf refill,1.0,
58,Graphics,eraser,1.0,
59,Graphics,compass set,1.0,
60,Graphics,"5H, HB & 2B pencils",1.0,
61,Graphics,pack of 12 watercolour pencils,1.0,
62,Graphics,A3 unlined pad,1.0,
63,Graphics,45° and 30-60° set square,,
64,Health,,,Workbook ordered at school office
65,Health,Highlighters or different coloured ballpoint pens,,
66,Health,A4 display book 40 pockets & loose leaf refill,1.0,Choose either
67,Health,A4 ringbinder & loose leaf refill,1.0,Choose either
68,History,A4 ringbinder,1.0,
69,History,set of dividers,1.0,
70,History,loose leaf refill,1.0,
71,Horticulture/Agriculture,1B5 exercise book,1.0,Choose either
72,Horticulture/Agriculture,A4 display book 20 pockets & loose leaf refill,1.0,Choose either
73,Maths,1J5 exercise book 5mm quad,2.0,
74,Maths,Casio FX-9750GII Graphic calculator,1.0,
75,Media Studies,A4 ringbinder,1.0,
76,Media Studies,set of dividers,1.0,
77,Media Studies,loose leaf refill,1.0,
78,Media Studies,8GB external flash drive (named),1.0,
79,Music,A4 ringbinder,1.0,
80,Music,14M5 Music loose leaf refill,1.0,
81,Music,14B8 loose leaf refill 7mm ruled,1.0,
82,Outdoor Education,A4 ringbinder,1.0,
83,Outdoor Education,loose leaf refill,1.0,
84,Painting & Printmaking,,,Drawing and painting supplies of your choice
85,Painting & Printmaking,A3 drawing wallet,1.0,
86,Painting & Printmaking,A3 visual diary,1.0,
87,Physical Education,,,Workbook ordered at school office
88,Physical Education,A4 ringbinder & loose leaf refill,1.0,Choose either
89,Physical Education,A4 display book 20 pockets & loose leaf refill,1.0,Choose either
90,Physics,scientific calculator,1.0,
91,Physics,earphones,1.0,
92,Physics,A4 ringbinder and loose leaf refill,1.0,Choose either
93,Physics,B5 exercise book,1.0,Choose either
94,Photography,"(A3 or A4 visual display), or (A3 or A4 display book 20 pockets)",,Choose either
95,Photography,4GB or more USB stick,,
96,Photography,DSLR camera and laptop are both optional but highly recommended,,
97,SPEC,,,Workbook available to order at school
98,Sport Performance,A4 display book 20 pockets,1.0,
99,Sport Performance,Loose leaf refill,1.0,
100,Sport Leadership,A4 display book 20 pockets,1.0,
101,Sport Leadership,loose leaf refill 7mm ruled,1.0,
102,Te Reo Maori,B5 exercise book 7mm ruled,1.0,
103,Tourism,,,Workbook ordered at school office
104,Tourism,A4 display book 20 pockets,1.0,
105,Tourism,loose leaf refill,1.0,
