,Subject ,Items,Quantity,Comments
0,Accounting,,1.0,Workbook ordered at school office
1,Accounting,A4 ringbinder,1.0,
2,Accounting,Set of dividers,1.0,
3,Accounting,14B8 loose leaf refill 7mm,1.0,
4,Basic Requirements,HB pencils,2.0,
5,Basic Requirements,Pack of coloured pencils,1.0,
6,Basic Requirements,Clear plastic ruler,1.0,
7,Basic Requirements,Large glue stick,1.0,
8,Basic Requirements,"Blue, Black & Red ballpoint pen",1.0,
9,Basic Requirements,Pencil case,1.0,
10,Basic Requirements,Set of earphones,1.0,
11,Basic Requirements,Highlighter,1.0,
12,Basic Requirements,Eraser,1.0,
13,Basic Requirements,14B5 loose leaf refill pad 7mm ruled 100 pages,1.0,
14,Biology,,,Yr 13 Biozone workbook available to order at school office
15,Biology,A4 ringbinder,1.0,
16,Biology,14B8 loose leaf refill 7mm,1.0,
17,Biology,Set of dividers,1.0,
18,Building,,,Please provide your own safety shoes
19,Building,HB pencil,1.0,
20,Building,Blue ballpoint pen,1.0,
21,Calculus,Write On Nulake bookets,, (ordered at school office)
22,Calculus,1J5 exercise book 5mm quad,1.0,
23,Calculus,A4 display book 20 pockets,1.0,
24,Calculus,Casio FX-9750GII Graphic Calculator,1.0,
25,Chemistry,1B5 exercise book & 1 x A4 display book 20 pockets,1.0,Choose either
26,Chemistry,"A4 ring binder, set of dividers & loose leaf refill",1.0,Choose either
27,Computer Studies,8GB memory stick,1.0,
28,Correspondence,,,Own device recommended
29,Correspondence,A4 display book 20 pockets,1.0,
30,Dance,A4 display book 20 pockets,1.0,
31,Dance,Loose leaf refill 7mm,1.0,
32,Dance,1B5 exercise book,1.0,
33,Design,4GB or more USB stick,1.0,
34,Design,"Drawing tools including pencils, finewriters & felt pens",,
35,Design,A3 or A4 Visual diary or clearfile display folder,,
36,Digital Technology, 8GB memory stick,1.0,
37,Drama,,,To be decided in class 2017
38,English,Small A4 ring binder,1.0,
39,English,Set of dividers,1.0,
40,English,Loose leaf refill 7mm ruled,1.0,
41,Fabric Technology,,,Please provide your own sewing thread and fabric
42,Fabric Technology,Mechanical pencil & lead,1.0,
43,Fabric Technology,Visual diary,1.0,
44,Fabric Technology,Large glue stick,1.0,
45,Fabric Technology,A4 display book 20 pockets,1.0,
46,Food Technology,A4 ringbinder,1.0,
47,Food Technology,Loose leaf refill,1.0,
48,Food Technology,Set of dividers,1.0,
49,French,A4 display book 40 pockets,1.0,
50,Geography,A4 ringbinder,1.0,
51,Geography,Set of dividers,1.0,
52,Geography,Loose leaf refill 7mm ruled,1.0,
53,Graphics,Eraser,1.0,
54,Graphics,Compass set,1.0,
55,Graphics,"5H, HB & 2B pencils",1.0,
56,Graphics,Pack of 12 watercolour pencils,1.0,
57,Graphics,A3 unlined pad,1.0,
58,Graphics,45° and 30-60° set square,,
59,Hard Materials Wood & Metal,HB & 3H pencil,1.0,
60,Hard Materials Wood & Metal,Ballpoint pen,1.0,
61,Health,,,Laptop recommended
62,Health,Highlighters or different coloured ballpoint pens,,
63,Health,A4 display book 40 pockets & loose leaf refill,1.0,Choose either
64,Health,A4 ringbinder & loose leaf refill,1.0,Choose either
65,History,A4 ringbinder,1.0,
66,History,set of dividers,1.0,
67,History,14B5 loose leaf refill 7mm ruled,1.0,
68,Horticulture/Agriculture,1B5 exercise book,1.0,Choose either
69,Horticulture/Agriculture,A4 display book 20 pockets & loose leaf refill,1.0,Choose either
70,Maths,,,Workbook ordered at school office
71,Maths,1J5 exercise book 5mm quad,2.0,
72,Maths,Casio FX-9750GII Graphic calculator,1.0,
73,Media Studies,A4 ringbinder,1.0,
74,Media Studies,set of dividers,1.0,
75,Media Studies,loose leaf refill,1.0,
76,Media Studies,8GB external flash drive (named),1.0,
77,Music,A4 ringbinder,1.0,
78,Music,14M5 music loose leaf refill,1.0,
79,Music,14B8 loose leaf refill,1.0,
80,Outdoor Pursuits & Leadership,A4 ringbinder,1.0,
81,Outdoor Pursuits & Leadership,loose leaf refill 7mm ruled,1.0,
82,Painting,,,Drawing and painting supplies of your choice
83,Painting,A3 drawing wallet,1.0,
84,Painting,A3 spiral bound workbook,1.0,
85,Photography,A3 or A4 workbook,,DSLR camera and laptop are both optional but highly recommended
86,Photography,4GB or more USB stick,,
87,Physical Education,A4 display book 40 pockets,1.0,Laptop recommended
88,Physical Education,Loose leaf refill,1.0,
89,Physics,Scientific calculator,1.0,
90,Physics,Earphones,1.0,
91,Physics,A4 ringbinder and 1 x loose leaf refill,1.0,Choose either
92,Physics,B5 exercise book,1.0,Choose either
93,SPEC,,,Workbook available to order at school office
94,Sport & Leadership,A4 display book 20 pockets,1.0,
95,Sport & Leadership,Loose leaf refill,1.0,
96,Sport Performance,A4 display book 40 pockets,1.0,
97,Statistics,,,Write On Nulake booklets order at school office
98,Statistics,1J5 exercise book,1.0,
99,Statistics,Graphics calculator (Casio),1.0,
100,Te Reo Maori,1B5 Exercise book,1.0,
101,Tourism,A4 Display book 20 pockets,1.0,Workbook available to order at school office
102,Tourism,Loose leaf refill,,
