,Subject ,Items,Quantity,Comments
0,Basic Essentials,Staples Eraser,1,
1,Basic Essentials,HB Pencil,4,
2,Basic Essentials,Pencil Sharpener,1,
3,Basic Essentials,Ballpoint Pen- Black,2,
4,Basic Essentials,Ballpoint Pen- Blue,2,
5,Basic Essentials,Ballpoint Pen- Red,1,
6,Basic Essentials,Plastic Ruler,1,
7,Basic Essentials,Pencil case,1,
8,Basic Essentials,USB - minimum 4 GB,1,
9,Basic Essentials,Display Folder,2,
10,Chemistry,Tudor Exercise Book A4 96page 8mm ruled,1,
11,Child Studies,Tudor Exercise Book A4 96page 8mm ruled,1,
12,Performing Arts - Dance,Tudor Exercise Book A4 96page 8mm ruled,1,
13,Visual Arts - ART,A3 Display Floder,3,
14,Visual Arts - ART,Pilot Fineliner Marker 0.4mm,1,
15,Visual Arts - ART,A3 Jasart Visual Diary,1,
16,Visual Arts - ART,HB Pencil,1,
17,Visual Arts - Design,A3 Display Floder,1,
18,Visual Arts - Design,Pilot Fineliner Marker 0.4mm,1,
19,Visual Arts - Design,A3 Jasart Visual Diary,1,
20,Visual Arts - Design,HB Pencil,1,
21,Essential English,Tudor Exercise Book A4 96page 8mm ruled,1,
22,English,Tudor Exercise Book A4 96page 8mm ruled,1,
23,Essential Math,Olympic Binder Graph Pad A4 25page 5mm Squares,1,
24,General Mathematics,Olympic Binder Graph Pad A4 25page 5mm Squares,1,
25,General Mathematics,Graph Book 96page 5mm,1,
26,Mathematical Methods,Olympic Binder Graph Pad A4 25page 5mm Squares,1,
27,Mathematical Methods,Graph Book 96page 5mm,1,
28,Specialist Math,Olympic Binder Graph Pad A4 25page 5mm Squares,1,
29,Specialist Math,Graph Book 96page 5mm,1,
30,Health,Tudor Exercise Book A4 96page 8mm ruled,1,
31,Music,Display Folder,2,
32,Outdoor Education,Tudor Exercise Book A4 96page 8mm ruled,1,
33,Physics,Tudor Exercise Book A4 96page 8mm ruled,1,
34,Physical Education,Tudor Exercise Book A4 96page 8mm ruled,1,
35,Psychology,Tudor Exercise Book A4 96page 8mm ruled,1,
36,Society and Culture,Tudor Exercise Book A4 96page 8mm ruled,1,
