,Subject,Items,Quantity,Comments
0,ENGLISH Home Language,Exam Pad (A4),1,
1,ENGLISH Home Language,Hard cover book 96 page (A4),1,
2,ENGLISH Home Language,Dictionary,1,
3,ENGLISH Home Language,Flip file 20 page,2,
4,ENGLISH Home Language,Workbook,1,to be purchased from Class Teacher in Term 1
5,AFRIKAANS Home Language,Hard cover book 192 page (A4),1,
6,AFRIKAANS Home Language,College Exercise Book 72 page (A4),1,
7,AFRIKAANS Home Language,Flip file ,1,
8,AFRIKAANS 1 st Additional Language,Beryl Lutrin Afrikaans Study Guide,1,
9,AFRIKAANS 1 st Additional Language,College Exercise Book 72 page  (A4),1,
10,AFRIKAANS 1 st Additional Language,flip file 30 page  (A4),1,
11,AFRIKAANS 1 st Additional Language,hard cover book 192 page (A4),1,
12,AFRIKAANS 1 st Additional Language,Dictionary (Afr/Eng),1,
13,XHOSA 1 st Additional Language,Hard cover book 288 page (A4),1,
14,XHOSA 1 st Additional Language,Soft cover book 72 page (A4),1,
15,XHOSA 1 st Additional Language,Flip file 30 page,1,
16,MATHEMATICS,Hard cover exercise book 192 page (A4),2,
17,MATHEMATICS,CASIO fx-82ZA PLUS Scientific Calulator (or fx-991ES PLUS),1,
18,MATHEMATICS,Mind Action Series Grade 10 Textbook (Revised New Edition),1,available from Pickwick Books
19,MATHEMATICS,flip file or plastic envelope (for SBA purposes),1,
20,MATHEMATICS,Mind Action Series Grade 11 Text book,1,available from Pickwick Books
21,MATHEMATICS,Mind Action Series Grade 11 Geometry Workbook,1,available from Pickwick Books
22,MATHS LITERACY,Hard cover book 192 page (A4),1,
23,MATHS LITERACY,Scientific Calculator (CASIO FX82 ZA PLUS),1,OnlyTHIS model please
24,MATHS LITERACY,Protractor,1,
25,LIFE ORIENTATION,Ring binder file / Flip file,1,
26,PHYSICAL SCIENCES,Exam pad 100 page  (A4),1,
27,PHYSICAL SCIENCES,Flip file 20 page,1,
28,PHYSICAL SCIENCES,Hard cover 288 page,1,
29,LIFE SCIENCES,Flip file 20 page ,1,
30,LIFE SCIENCES,Life Sciences textbook/workbook -,1,To be purchased from LS teacher
31,ACCOUNTING,Workbook (New Era),1,can be purchased from Pickwick books or other
32,ACCOUNTING,flip file for CASS 20 page,1,
33,BUSINESS STUDIES,Hard cover book 128 page (A4),1,
34,BUSINESS STUDIES,Flip File 30 page,1,
35,HISTORY,Hard cover book 192 page (A4),1,
36,HISTORY,File file 20 page,1,
37,GEOGRAPHY,Hard cover book 192 page (A4),1,
38,GEOGRAPHY,Flip file 30 page,2,
39,ENGINEERING GRAPHICS & DESIGN,Brown Envelope,2,
40,ENGINEERING GRAPHICS & DESIGN,Hard cover book 96 page (A4),1,
41,ENGINEERING GRAPHICS & DESIGN,Flip file 30 page  (A4),2,
42,ENGINEERING GRAPHICS & DESIGN,2H pencil,2,
43,ENGINEERING GRAPHICS & DESIGN,Soft Eraser,1,
44,MUSIC,Flip file 50 page,1,
45,MUSIC,Plastic folder with fastener,1,Croxley DOC6229
46,VISUAL ART,"Colour pencils, charcoal, soft erasers, putty, sharpener",1,
47,VISUAL ART,Source book (vertical format – black A3,1,available at City Stationers / Arty Crafts)
48,VISUAL ART,"Flip file , Pencils (A4), HB, B, B2, B4, B6",1,
49,VISUAL ART,Black fine liner (standard),1,
50,VISUAL ART,"Black fine liner (0,05)",1,
51,VISUAL ART,Dala black ink,1,
52,VISUAL ART,Dala sepia ink,1,
53,VISUAL ART,Good quality brushes (2 x small; 1 x medium; 1 x large),1,
54,INFORMATION TECHNOLOGY,Ring binder file,1,
55,INFORMATION TECHNOLOGY,Exam Pad (A4),1,
56,INFORMATION TECHNOLOGY,USB Flash Drive (at least 4GB),1,
57,COMPUTER APPLICATION TECH,Hard cover book 192 page (A4),1,
