,Subject ,Items,Quantity,Comments
0,RECOMMENDED STATIONERY - Standard Pack,PEN MEDIUM POINT BLUE,1,
1,RECOMMENDED STATIONERY - Standard Pack,PENCIL STANDARD HB,1,
2,RECOMMENDED STATIONERY - Standard Pack,RULER PLASTIC CLEAR 30CM,1,
3,RECOMMENDED STATIONERY - Standard Pack,BINDER A4 3D 25MM ASSORTED,1,
4,RECOMMENDED STATIONERY - Standard Pack,HIGHLIGHTER YELLOW,1,
5,RECOMMENDED STATIONERY - Standard Pack,GLUE STICK SCHOOL 40G,1,
6,RECOMMENDED STATIONERY - Standard Pack,USB THUMBDRIVE EDUDRIVE 8GB OR EXTERNAL HARD DRIVE,1,
7,CARTOONING & ANIMATION,SKETCH BK A4 110GSM 20 LF,1,
8,CARTOONING & ANIMATION,PENCIL STANDARD HB,1,
9,CARTOONING & ANIMATION,DISPLAY BK A4 20 INSERTS,1,
10,CARTOONING & ANIMATION,PEN STAEDTLER LUMOCOLOR PERMANENT FINE BLACK,1,
11,DESIGN & TECHNOLOGY,WRITING PAD A4 8MM RULED 100 PAGE PUNCHED 7 HOLES,1,
12,MUSIC,MUSIC MANUSCRIPT PAD A4 50LF,1,
13,MUSIC,DISPLAY BK A4 20 INSERTS,1,
14,VISUAL ARTS,PENCIL 2B ,1,
15,VISUAL ARTS,ERASER PENCIL LARGE VINYL 7085-20,1,
16,VISUAL ARTS,PEN ARTLINE 200 0.4MM BLACK,1,
17,VISUAL ARTS,VISUAL DIARY A3 60 LEAF 110GSM,1,
18,DRAMA,DISPLAY BK A4 20 INSERTS,1,
19,ENGLISH,DISPLAY BK A4 20 INSERTS KWIK ZIP REFILLABLE+DIVIDERS BLACK,1,
20,English as an Additional Language (EAL),TEXT TYPES A WRITING GUIDE FOR STUDENTS [TOWNSEND],1,
21,English as an Additional Language (EAL),DISPLAY BK A4 20 INSERTS,1,
22,CHINESE,CONCISE ENGLISH-CHINESE CHINESE-ENGLISH DICTIONARY,1,
23,CHINESE,EXERCISE BK A4 96 PAGE 8MM,1,
24,CHINESE,GRAPH BK A4 48 PAGE 10MM GRID,2,
25,FRENCH,COLLINS POCKET FRENCH DICTIONARY 2ND edition.,1,
26,FRENCH,DOCUMENT WALLET CARDBOARD ASSORTED,1,
27,JAPANESE,EXERCISE BK A4 96 PAGE 8MM,1,
28,JAPANESE,GRAPH BK A4 48 PAGE 10MM GRID,1,
29,MATHEMATICS,GRAPH PAD A4 50 LEAF 5MM GRID,1,
30,MATHEMATICS,GRAPH BK A4 96 PAGE 5MM GRID,2,
31,MATHEMATICS,COMPASS/GEOLINER PRE-MATHS APPS/STANDARD LEVEL WITH SUPPORT - SCIENTIFIC CALCULATOR (CASIO PREFERRED) PRE-PURE MATHS/PRE IB MATHS - GRAPHICS CALCULATOR (CASIO -FXCG20AU-LB),1,
32,SCIENCE,EXERCISE BK A4 SPIRAX 96 PAGE 8MM,1,
33,HUMANITIES,3 RING FOLDER,1,
34,HOME ECONOMICS,EXERCISE BK A4 SPIRAX 96 PAGE 8MM,1,
35,PHYSICAL EDUCATION,EXERCISE BK A4 SPIRAX 96 PAGE 8MM,1,
